,0
2020.01.18~2020.01.22,"['000960.SZ', '600459.SH', '600722.SH', '002136.SZ', '002442.SZ', '601678.SH', '002562.SZ', '600873.SH', '002505.SZ', '002125.sz']"
2020.10.26~2020.10.30,"['600801.SH', '002428.SZ', '600740.SH', '002221.SZ', '600256.SH', '002145.SZ', '002068.SZ', '002254.SZ', '600810.SH', '600873.SH']"
2020.09.07~2020.09.11,"['002623.SZ', '000657.SZ', '601958.SH', '000959.SZ', '002648.SZ', '002274.SZ', '600409.SH', '601678.SH', '600596.SH', '603599.SH']"
2020.09.01~2020.09.04,"['300127.SZ', '601969.SH', '000825.SZ', '600844.SH', '002274.SZ', '601678.SH', '002455.SZ', '600596.SH', '603599.SH', '601118.SH']"
2020.08.24~2020.08.28,"['000012.SZ', '600497.SH', '600111.SH', '601969.SH', '000822.SZ', '600409.SH', '601678.SH', '600230.SH', '002408.SZ', '002455.SZ']"
2020.02.08~2020.02.19,"['002171.SZ', '601958.SH', '000962.SZ', '600459.SH', '000635.SZ', '603026.SH', '600527.SH', '002019.SZ', '000952.SZ', '000930.SZ']"
2020.01.25~2020.01.29,"['000657.SZ', '002442.SZ', '601678.SH', '000818.SZ', '002254.SZ', '000553.SZ', '002391.SZ', '600299.SH', '002562.SZ', '002019.SZ']"
2020.07.27~2020.07.31,"['000012.SZ', '600497.SH', '000795.SZ', '603799.SH', '002221.SZ', '600844.SH', '002068.SZ', '601678.SH', '002408.SZ', '600486.SH']"
2020.06.22~2020.06.24,"['000012.SZ', '000878.SZ', '000962.SZ', '600740.SH', '002068.SZ', '002753.SZ', '603026.SH', '000819.SZ', '002714.SZ']"
2021.01.04~2021.01.08,"['000630.SZ', '000960.SZ', '600111.SH', '600459.SH', '601225.SH', '002221.SZ', '603026.SH', '000703.SZ', '601233.SH', '002299.SZ']"
2021.05.24~2021.05.28,"['600876.SH', '600497.SH', '603993.SH', '000962.SZ', '600531.SH', '600997.SH', '000545.SZ', '002064.SZ', '002895.sz', '002258.SZ']"
2021.05.31~2021.06.04,"[002613.SZ,603993.SH,000629.SZ,600531.SH,002068.SZ,002064.SZ,002895.sz,002588.SZ,002258.SZ,603599.SH]"

